clustering_algo,features,num_visual_words,eps,num_clusters,silhouette_score
dbscan,sift,75,0.3,5,0.00484
dbscan,sift,75,0.305,4,0.130056
dbscan,sift,75,0.31,4,0.096218
dbscan,sift,75,0.315,5,0.098974
dbscan,sift,75,0.32,6,0.101464
dbscan,sift,75,0.325,6,0.09923
dbscan,sift,75,0.33,6,0.065492
dbscan,sift,75,0.335,6,-0.099147
dbscan,sift,75,0.34,5,-0.105631
dbscan,sift,75,0.345,4,-0.123353
dbscan,sift,75,0.35,4,-0.130227
dbscan,sift,75,0.355,3,0.021459
dbscan,sift,75,0.36,3,0.024595
dbscan,sift,75,0.365,3,0.01118
dbscan,sift,75,0.37,2,0.033512
dbscan,sift,75,0.375,2,0.033868
dbscan,sift,75,0.38,2,0.045409
dbscan,sift,75,0.385,2,0.025439
dbscan,sift,75,0.39,2,0.031592
dbscan,sift,75,0.395,2,0.007304
dbscan,sift,75,0.4,2,0.012824
dbscan,sift,75,0.405,2,0.02081
dbscan,sift,75,0.41,2,0.031767
dbscan,sift,75,0.415,2,0.031767
dbscan,sift,75,0.42,2,0.033286
dbscan,sift,75,0.425,2,0.033286
dbscan,sift,75,0.43,2,0.039643
dbscan,sift,75,0.435,2,0.045286
dbscan,sift,75,0.44,2,0.06518
dbscan,sift,75,0.445,2,0.06518
dbscan,sift,75,0.45,2,0.114333
dbscan,sift,75,0.455,2,0.114333
dbscan,sift,75,0.46,2,0.114333
dbscan,sift,80,0.3,5,0.031976
dbscan,sift,80,0.305,4,0.074215
dbscan,sift,80,0.31,5,0.06803
dbscan,sift,80,0.315,6,-0.138147
dbscan,sift,80,0.32,6,-0.127829
dbscan,sift,80,0.325,8,-0.103785
dbscan,sift,80,0.33,6,-0.108976
dbscan,sift,80,0.335,5,0.044034
dbscan,sift,80,0.34,3,0.027793
dbscan,sift,80,0.345,3,0.033415
dbscan,sift,80,0.35,3,0.030244
dbscan,sift,80,0.355,3,0.02933
dbscan,sift,80,0.36,3,0.024212
dbscan,sift,80,0.365,3,0.021401
dbscan,sift,80,0.37,3,0.021713
dbscan,sift,80,0.375,3,0.013221
dbscan,sift,80,0.38,3,0.009625
dbscan,sift,80,0.385,2,0.042029
dbscan,sift,80,0.39,2,0.035225
dbscan,sift,80,0.395,2,0.037365
dbscan,sift,80,0.4,2,0.043875
dbscan,sift,80,0.405,2,0.054071
dbscan,sift,80,0.41,2,0.054071
dbscan,sift,80,0.415,2,0.082039
dbscan,sift,80,0.42,2,0.112154
dbscan,sift,80,0.425,2,0.064137
dbscan,sift,80,0.43,2,0.092539
dbscan,sift,80,0.435,2,0.151037
dbscan,sift,80,0.44,2,0.151037
dbscan,sift,80,0.445,2,0.151037
dbscan,sift,80,0.45,2,0.151037
dbscan,sift,80,0.455,2,0.151037
dbscan,sift,80,0.46,2,0.151037
dbscan,sift,85,0.3,5,0.136153
dbscan,sift,85,0.305,5,0.146797
dbscan,sift,85,0.31,5,0.138761
dbscan,sift,85,0.315,6,-0.042814
dbscan,sift,85,0.32,5,0.096804
dbscan,sift,85,0.325,5,0.092325
dbscan,sift,85,0.33,6,0.088396
dbscan,sift,85,0.335,6,0.074685
dbscan,sift,85,0.34,6,0.076693
dbscan,sift,85,0.345,4,0.065582
dbscan,sift,85,0.35,3,0.037244
dbscan,sift,85,0.355,3,0.031837
dbscan,sift,85,0.36,3,0.031321
dbscan,sift,85,0.365,3,0.029223
dbscan,sift,85,0.37,4,-0.107518
dbscan,sift,85,0.375,4,-0.121509
dbscan,sift,85,0.38,3,-0.117932
dbscan,sift,85,0.385,2,0.044522
dbscan,sift,85,0.39,2,0.042083
dbscan,sift,85,0.395,2,0.042083
dbscan,sift,85,0.4,2,0.042802
dbscan,sift,85,0.405,2,0.039693
dbscan,sift,85,0.41,2,0.049604
dbscan,sift,85,0.415,2,0.071318
dbscan,sift,85,0.42,2,0.05663
dbscan,sift,85,0.425,2,0.07875
dbscan,sift,85,0.43,2,0.083107
dbscan,sift,85,0.435,2,0.118084
dbscan,sift,85,0.44,2,0.129259
dbscan,sift,85,0.445,2,0.15212
dbscan,sift,85,0.45,2,0.131581
dbscan,sift,85,0.455,2,0.131581
dbscan,sift,85,0.46,2,0.131581
dbscan,sift,90,0.3,4,-0.001781
dbscan,sift,90,0.305,4,-0.001162
dbscan,sift,90,0.31,4,-0.021025
dbscan,sift,90,0.315,4,0.050208
dbscan,sift,90,0.32,4,0.08885
dbscan,sift,90,0.325,5,-0.12501
dbscan,sift,90,0.33,6,-0.120704
dbscan,sift,90,0.335,9,-0.127319
dbscan,sift,90,0.34,7,-0.106222
dbscan,sift,90,0.345,9,-0.107059
dbscan,sift,90,0.35,8,-0.128665
dbscan,sift,90,0.355,5,-0.017209
dbscan,sift,90,0.36,4,-0.052788
dbscan,sift,90,0.365,4,-0.049747
dbscan,sift,90,0.37,4,-0.045682
dbscan,sift,90,0.375,4,-0.049696
dbscan,sift,90,0.38,4,-0.049696
dbscan,sift,90,0.385,3,0.03486
dbscan,sift,90,0.39,3,0.03296
dbscan,sift,90,0.395,2,0.049067
dbscan,sift,90,0.4,2,0.034419
dbscan,sift,90,0.405,2,0.033904
dbscan,sift,90,0.41,2,0.034715
dbscan,sift,90,0.415,2,0.035768
dbscan,sift,90,0.42,2,0.053038
dbscan,sift,90,0.425,2,0.080081
dbscan,sift,90,0.43,2,0.089635
dbscan,sift,90,0.435,2,0.046761
dbscan,sift,90,0.44,2,0.046761
dbscan,sift,90,0.445,2,0.046761
dbscan,sift,90,0.45,2,0.046761
dbscan,sift,90,0.455,2,0.046761
dbscan,sift,90,0.46,2,0.05368
dbscan,sift,95,0.3,3,0.221682
dbscan,sift,95,0.305,4,0.194921
dbscan,sift,95,0.31,5,0.044465
dbscan,sift,95,0.315,5,0.044465
dbscan,sift,95,0.32,6,0.029715
dbscan,sift,95,0.325,6,-0.043175
dbscan,sift,95,0.33,7,-0.107186
dbscan,sift,95,0.335,7,-0.109738
dbscan,sift,95,0.34,6,0.096756
dbscan,sift,95,0.345,6,0.069789
dbscan,sift,95,0.35,6,0.061379
dbscan,sift,95,0.355,4,0.0741
dbscan,sift,95,0.36,4,-0.15114
dbscan,sift,95,0.365,3,0.022501
dbscan,sift,95,0.37,3,0.026337
dbscan,sift,95,0.375,3,0.022304
dbscan,sift,95,0.38,2,0.043494
dbscan,sift,95,0.385,2,0.042414
dbscan,sift,95,0.39,2,0.042302
dbscan,sift,95,0.395,2,0.038546
dbscan,sift,95,0.4,2,0.039021
dbscan,sift,95,0.405,2,0.032704
dbscan,sift,95,0.41,2,0.033573
dbscan,sift,95,0.415,2,0.030269
dbscan,sift,95,0.42,2,0.013004
dbscan,sift,95,0.425,2,0.015087
dbscan,sift,95,0.43,2,0.022473
dbscan,sift,95,0.435,2,0.032217
dbscan,sift,95,0.44,2,0.040693
dbscan,sift,95,0.445,2,0.05316
dbscan,sift,95,0.45,2,0.05316
dbscan,sift,95,0.455,2,0.062146
dbscan,sift,95,0.46,2,0.078284
dbscan,sift,100,0.3,2,0.276613
dbscan,sift,100,0.305,2,0.276613
dbscan,sift,100,0.31,3,0.005941
dbscan,sift,100,0.315,4,0.014752
dbscan,sift,100,0.32,4,0.118128
dbscan,sift,100,0.325,5,-0.009059
dbscan,sift,100,0.33,4,0.113317
dbscan,sift,100,0.335,4,0.089125
dbscan,sift,100,0.34,4,0.082334
dbscan,sift,100,0.345,4,0.078825
dbscan,sift,100,0.35,6,-0.123409
dbscan,sift,100,0.355,5,0.00069
dbscan,sift,100,0.36,7,-0.003788
dbscan,sift,100,0.365,6,-0.026647
dbscan,sift,100,0.37,4,0.065462
dbscan,sift,100,0.375,5,-0.081876
dbscan,sift,100,0.38,4,0.064215
dbscan,sift,100,0.385,3,0.032145
dbscan,sift,100,0.39,3,0.020421
dbscan,sift,100,0.395,3,0.019978
dbscan,sift,100,0.4,3,0.016971
dbscan,sift,100,0.405,3,0.01688
dbscan,sift,100,0.41,2,0.043068
dbscan,sift,100,0.415,2,0.052656
dbscan,sift,100,0.42,2,0.036871
dbscan,sift,100,0.425,2,0.040427
dbscan,sift,100,0.43,2,0.044646
dbscan,sift,100,0.435,2,0.053843
dbscan,sift,100,0.44,2,0.065503
dbscan,sift,100,0.445,2,0.069228
dbscan,sift,100,0.45,2,0.091544
dbscan,sift,100,0.455,2,0.091544
dbscan,sift,100,0.46,2,0.04484
dbscan,sift,105,0.3,2,0.239201
dbscan,sift,105,0.305,2,0.239201
dbscan,sift,105,0.31,3,0.207034
dbscan,sift,105,0.315,3,0.188261
dbscan,sift,105,0.32,4,0.078616
dbscan,sift,105,0.325,4,0.078919
dbscan,sift,105,0.33,4,0.116902
dbscan,sift,105,0.335,4,0.099907
dbscan,sift,105,0.34,5,0.082764
dbscan,sift,105,0.345,6,0.002862
dbscan,sift,105,0.35,6,0.001775
dbscan,sift,105,0.355,6,-0.028392
dbscan,sift,105,0.36,7,-0.088354
dbscan,sift,105,0.365,4,-0.10044
dbscan,sift,105,0.37,4,-0.102398
dbscan,sift,105,0.375,4,-0.099794
dbscan,sift,105,0.38,4,-0.108096
dbscan,sift,105,0.385,3,0.026222
dbscan,sift,105,0.39,3,0.030955
dbscan,sift,105,0.395,2,0.059859
dbscan,sift,105,0.4,2,0.059946
dbscan,sift,105,0.405,2,0.054474
dbscan,sift,105,0.41,2,0.055688
dbscan,sift,105,0.415,2,0.057374
dbscan,sift,105,0.42,2,0.06549
dbscan,sift,105,0.425,2,0.037488
dbscan,sift,105,0.43,2,0.036978
dbscan,sift,105,0.435,2,0.011683
dbscan,sift,105,0.44,2,0.011733
dbscan,sift,105,0.445,2,0.020102
dbscan,sift,105,0.45,2,0.028934
dbscan,sift,105,0.455,2,0.063996
dbscan,sift,105,0.46,2,0.081948
dbscan,sift,110,0.3,2,0.271974
dbscan,sift,110,0.305,3,0.13093
dbscan,sift,110,0.31,3,0.13093
dbscan,sift,110,0.315,3,0.074546
dbscan,sift,110,0.32,3,0.074546
dbscan,sift,110,0.325,3,0.064412
dbscan,sift,110,0.33,4,0.075142
dbscan,sift,110,0.335,4,0.084643
dbscan,sift,110,0.34,5,0.067476
dbscan,sift,110,0.345,5,0.062874
dbscan,sift,110,0.35,5,0.073516
dbscan,sift,110,0.355,5,0.073169
dbscan,sift,110,0.36,6,0.035119
dbscan,sift,110,0.365,4,0.080839
dbscan,sift,110,0.37,5,-0.0911
dbscan,sift,110,0.375,3,0.043231
dbscan,sift,110,0.38,2,0.050104
dbscan,sift,110,0.385,2,0.052777
dbscan,sift,110,0.39,2,0.053542
dbscan,sift,110,0.395,2,0.050455
dbscan,sift,110,0.4,2,0.047642
dbscan,sift,110,0.405,2,0.040215
dbscan,sift,110,0.41,2,0.037721
dbscan,sift,110,0.415,2,0.036136
dbscan,sift,110,0.42,2,0.034108
dbscan,sift,110,0.425,2,0.036801
dbscan,sift,110,0.43,2,0.041325
dbscan,sift,110,0.435,2,0.045264
dbscan,sift,110,0.44,2,0.047157
dbscan,sift,110,0.445,2,0.073632
dbscan,sift,110,0.45,2,0.048597
dbscan,sift,110,0.455,2,0.049928
dbscan,sift,110,0.46,2,0.051812
dbscan,sift,115,0.3,2,0.265735
dbscan,sift,115,0.305,2,0.265735
dbscan,sift,115,0.31,3,0.237488
dbscan,sift,115,0.315,3,0.192763
dbscan,sift,115,0.32,3,0.192763
dbscan,sift,115,0.325,3,0.189748
dbscan,sift,115,0.33,4,0.20246
dbscan,sift,115,0.335,5,0.109941
dbscan,sift,115,0.34,6,0.057998
dbscan,sift,115,0.345,6,0.077089
dbscan,sift,115,0.35,5,0.10508
dbscan,sift,115,0.355,4,0.067155
dbscan,sift,115,0.36,3,0.103024
dbscan,sift,115,0.365,2,0.119935
dbscan,sift,115,0.37,3,-0.087977
dbscan,sift,115,0.375,4,-0.074156
dbscan,sift,115,0.38,4,-0.070057
dbscan,sift,115,0.385,4,-0.063267
dbscan,sift,115,0.39,3,0.052441
dbscan,sift,115,0.395,3,0.043536
dbscan,sift,115,0.4,3,0.03325
dbscan,sift,115,0.405,3,0.024936
dbscan,sift,115,0.41,3,0.03047
dbscan,sift,115,0.415,2,0.03964
dbscan,sift,115,0.42,2,0.046411
dbscan,sift,115,0.425,2,0.043741
dbscan,sift,115,0.43,2,0.039165
dbscan,sift,115,0.435,2,0.025323
dbscan,sift,115,0.44,2,0.042047
dbscan,sift,115,0.445,2,0.051678
dbscan,sift,115,0.45,2,0.06104
dbscan,sift,115,0.455,2,0.021813
dbscan,sift,115,0.46,2,0.028398
dbscan,sift,120,0.3,3,0.231351
dbscan,sift,120,0.305,3,0.231351
dbscan,sift,120,0.31,3,0.231351
dbscan,sift,120,0.315,3,0.231351
dbscan,sift,120,0.32,4,0.142001
dbscan,sift,120,0.325,4,0.142001
dbscan,sift,120,0.33,5,0.134488
dbscan,sift,120,0.335,5,0.10936
dbscan,sift,120,0.34,5,0.105568
dbscan,sift,120,0.345,5,0.105568
dbscan,sift,120,0.35,5,0.123324
dbscan,sift,120,0.355,5,0.111628
dbscan,sift,120,0.36,5,0.084753
dbscan,sift,120,0.365,5,0.069501
dbscan,sift,120,0.37,6,0.089838
dbscan,sift,120,0.375,7,0.071975
dbscan,sift,120,0.38,6,0.056294
dbscan,sift,120,0.385,6,0.066101
dbscan,sift,120,0.39,4,0.055859
dbscan,sift,120,0.395,4,0.053311
dbscan,sift,120,0.4,3,0.024031
dbscan,sift,120,0.405,3,0.020529
dbscan,sift,120,0.41,2,0.031109
dbscan,sift,120,0.415,2,0.02808
dbscan,sift,120,0.42,2,0.02999
dbscan,sift,120,0.425,2,0.03179
dbscan,sift,120,0.43,2,0.031252
dbscan,sift,120,0.435,2,0.039049
dbscan,sift,120,0.44,2,0.044325
dbscan,sift,120,0.445,2,0.064846
dbscan,sift,120,0.45,2,0.064846
dbscan,sift,120,0.455,2,0.047328
dbscan,sift,120,0.46,2,0.049548
dbscan,sift,125,0.3,3,0.206448
dbscan,sift,125,0.305,3,0.206448
dbscan,sift,125,0.31,3,0.205148
dbscan,sift,125,0.315,3,0.206588
dbscan,sift,125,0.32,3,0.206588
dbscan,sift,125,0.325,3,0.206588
dbscan,sift,125,0.33,3,0.206588
dbscan,sift,125,0.335,3,0.206588
dbscan,sift,125,0.34,4,0.199531
dbscan,sift,125,0.345,5,0.096619
dbscan,sift,125,0.35,6,0.040038
dbscan,sift,125,0.355,5,0.071214
dbscan,sift,125,0.36,4,0.072205
dbscan,sift,125,0.365,4,0.075496
dbscan,sift,125,0.37,3,0.118092
dbscan,sift,125,0.375,4,0.114339
dbscan,sift,125,0.38,4,0.105461
dbscan,sift,125,0.385,3,0.091886
dbscan,sift,125,0.39,4,-0.06486
dbscan,sift,125,0.395,4,-0.061415
dbscan,sift,125,0.4,4,-0.06714
dbscan,sift,125,0.405,2,0.057817
dbscan,sift,125,0.41,2,0.052633
dbscan,sift,125,0.415,2,0.048917
dbscan,sift,125,0.42,2,0.044998
dbscan,sift,125,0.425,2,0.038591
dbscan,sift,125,0.43,2,0.045822
dbscan,sift,125,0.435,2,0.045822
dbscan,sift,125,0.44,2,0.035934
dbscan,sift,125,0.445,2,0.035785
dbscan,sift,125,0.45,2,0.040135
dbscan,sift,125,0.455,2,0.040135
dbscan,sift,125,0.46,2,0.007428
dbscan,sift,130,0.305,2,0.25327
dbscan,sift,130,0.31,2,0.286674
dbscan,sift,130,0.315,2,0.286674
dbscan,sift,130,0.32,2,0.286674
dbscan,sift,130,0.325,2,0.286674
dbscan,sift,130,0.33,2,0.286674
dbscan,sift,130,0.335,2,0.286674
dbscan,sift,130,0.34,3,0.067079
dbscan,sift,130,0.345,4,0.030545
dbscan,sift,130,0.35,5,0.069745
dbscan,sift,130,0.355,5,0.073364
dbscan,sift,130,0.36,4,0.115416
dbscan,sift,130,0.365,5,0.084502
dbscan,sift,130,0.37,7,-0.099282
dbscan,sift,130,0.375,6,-0.096608
dbscan,sift,130,0.38,6,-0.099302
dbscan,sift,130,0.385,6,-0.067593
dbscan,sift,130,0.39,6,-0.069622
dbscan,sift,130,0.395,5,-0.089262
dbscan,sift,130,0.4,5,-0.086838
dbscan,sift,130,0.405,5,-0.094344
dbscan,sift,130,0.41,4,-0.116392
dbscan,sift,130,0.415,4,-0.09831
dbscan,sift,130,0.42,4,-0.096672
dbscan,sift,130,0.425,4,-0.05399
dbscan,sift,130,0.43,2,0.046787
dbscan,sift,130,0.435,2,0.04698
dbscan,sift,130,0.44,2,0.03401
dbscan,sift,130,0.445,2,0.030177
dbscan,sift,130,0.45,2,0.030177
dbscan,sift,130,0.455,2,0.04549
dbscan,sift,130,0.46,2,0.012411
dbscan,sift,135,0.3,2,0.296907
dbscan,sift,135,0.305,2,0.296907
dbscan,sift,135,0.31,2,0.296907
dbscan,sift,135,0.315,2,0.296907
dbscan,sift,135,0.32,2,0.296907
dbscan,sift,135,0.325,2,0.284868
dbscan,sift,135,0.33,3,0.068064
dbscan,sift,135,0.335,3,0.044429
dbscan,sift,135,0.34,3,0.11282
dbscan,sift,135,0.345,3,0.11282
dbscan,sift,135,0.35,4,0.126204
dbscan,sift,135,0.355,5,0.114556
dbscan,sift,135,0.36,5,0.113088
dbscan,sift,135,0.365,5,0.102883
dbscan,sift,135,0.37,5,0.08895
dbscan,sift,135,0.375,6,0.10723
dbscan,sift,135,0.38,6,0.099994
dbscan,sift,135,0.385,6,0.086633
dbscan,sift,135,0.39,4,0.067294
dbscan,sift,135,0.395,4,0.069085
dbscan,sift,135,0.4,4,0.055512
dbscan,sift,135,0.405,5,-0.095216
dbscan,sift,135,0.41,4,0.037997
dbscan,sift,135,0.415,3,0.021848
dbscan,sift,135,0.42,3,0.019008
dbscan,sift,135,0.425,3,0.020338
dbscan,sift,135,0.43,3,0.01589
dbscan,sift,135,0.435,2,0.040631
dbscan,sift,135,0.44,2,0.045387
dbscan,sift,135,0.445,2,0.043614
dbscan,sift,135,0.45,2,0.041773
dbscan,sift,135,0.455,2,0.027653
dbscan,sift,135,0.46,2,-0.004628
dbscan,sift,140,0.3,2,0.237159
dbscan,sift,140,0.305,2,0.237159
dbscan,sift,140,0.31,2,0.237159
dbscan,sift,140,0.315,2,0.237159
dbscan,sift,140,0.32,2,0.237159
dbscan,sift,140,0.325,2,0.272706
dbscan,sift,140,0.33,3,0.259096
dbscan,sift,140,0.335,3,0.259096
dbscan,sift,140,0.34,3,0.257309
dbscan,sift,140,0.345,5,0.148484
dbscan,sift,140,0.35,5,0.161575
dbscan,sift,140,0.355,5,0.161575
dbscan,sift,140,0.36,6,0.010712
dbscan,sift,140,0.365,6,0.009845
dbscan,sift,140,0.37,4,0.144491
dbscan,sift,140,0.375,4,0.163477
dbscan,sift,140,0.38,6,-0.093089
dbscan,sift,140,0.385,6,-0.08581
dbscan,sift,140,0.39,3,0.110235
dbscan,sift,140,0.395,2,0.09352
dbscan,sift,140,0.4,2,0.097792
dbscan,sift,140,0.405,2,0.084737
dbscan,sift,140,0.41,4,-0.11357
dbscan,sift,140,0.415,4,-0.112744
dbscan,sift,140,0.42,4,-0.113736
dbscan,sift,140,0.425,4,-0.108207
dbscan,sift,140,0.43,4,-0.110889
dbscan,sift,140,0.435,3,0.0221
dbscan,sift,140,0.44,2,0.036379
dbscan,sift,140,0.445,2,0.044229
dbscan,sift,140,0.45,2,0.059063
dbscan,sift,140,0.455,2,0.059063
dbscan,sift,140,0.46,2,0.060702
dbscan,sift,145,0.3,3,0.260515
dbscan,sift,145,0.305,3,0.260515
dbscan,sift,145,0.31,3,0.260515
dbscan,sift,145,0.315,3,0.26513
dbscan,sift,145,0.32,3,0.26513
dbscan,sift,145,0.325,3,0.26513
dbscan,sift,145,0.33,3,0.26513
dbscan,sift,145,0.335,3,0.268925
dbscan,sift,145,0.34,3,0.268925
dbscan,sift,145,0.345,4,0.247577
dbscan,sift,145,0.35,4,0.244238
dbscan,sift,145,0.355,5,0.098294
dbscan,sift,145,0.36,5,0.112527
dbscan,sift,145,0.365,5,0.157506
dbscan,sift,145,0.37,6,-0.029633
dbscan,sift,145,0.375,5,0.127244
dbscan,sift,145,0.38,5,0.126869
dbscan,sift,145,0.385,5,0.12883
dbscan,sift,145,0.39,7,0.099929
dbscan,sift,145,0.395,7,0.084948
dbscan,sift,145,0.4,6,0.096068
dbscan,sift,145,0.405,4,0.100498
dbscan,sift,145,0.41,3,0.088737
dbscan,sift,145,0.415,3,0.061836
dbscan,sift,145,0.42,3,0.052897
dbscan,sift,145,0.425,3,0.030349
dbscan,sift,145,0.43,3,0.025425
dbscan,sift,145,0.435,2,0.037857
dbscan,sift,145,0.44,2,0.038088
dbscan,sift,145,0.445,2,0.038005
dbscan,sift,145,0.45,2,0.02778
dbscan,sift,145,0.455,2,0.032945
dbscan,sift,145,0.46,2,0.028197
dbscan,sift,150,0.33,2,0.274692
dbscan,sift,150,0.335,2,0.274692
dbscan,sift,150,0.34,3,0.25481
dbscan,sift,150,0.345,3,0.216296
dbscan,sift,150,0.35,3,0.212496
dbscan,sift,150,0.355,3,0.212496
dbscan,sift,150,0.36,4,0.189768
dbscan,sift,150,0.365,4,0.176265
dbscan,sift,150,0.37,4,0.17119
dbscan,sift,150,0.375,5,0.102283
dbscan,sift,150,0.38,5,0.115785
dbscan,sift,150,0.385,5,0.120896
dbscan,sift,150,0.39,5,0.097197
dbscan,sift,150,0.395,5,0.032804
dbscan,sift,150,0.4,5,0.080202
dbscan,sift,150,0.405,6,-0.037196
dbscan,sift,150,0.41,6,-0.032283
dbscan,sift,150,0.415,6,-0.114585
dbscan,sift,150,0.42,5,-0.068241
dbscan,sift,150,0.425,4,-0.126266
dbscan,sift,150,0.43,4,-0.140243
dbscan,sift,150,0.435,3,-0.090319
dbscan,sift,150,0.44,2,0.048731
dbscan,sift,150,0.445,2,0.050881
dbscan,sift,150,0.45,2,0.054671
dbscan,sift,150,0.455,2,0.043992
dbscan,sift,150,0.46,2,0.039409
